记录时间：2018-12-15 10:20:14,445 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：程序启动
记录时间：2018-12-15 10:27:24,526 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:24:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:24,526 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:24:Begin-------------

记录时间：2018-12-15 10:27:27,028 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:27:End-------------

记录时间：2018-12-15 10:27:30,029 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:30:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:30,029 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:30:Begin-------------

记录时间：2018-12-15 10:27:32,530 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:32:End-------------

记录时间：2018-12-15 10:27:35,530 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:35:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:35,530 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:35:Begin-------------

记录时间：2018-12-15 10:27:38,032 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:38:End-------------

记录时间：2018-12-15 10:27:41,032 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:41:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:41,032 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:41:Begin-------------

记录时间：2018-12-15 10:27:43,534 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:43:End-------------

记录时间：2018-12-15 10:27:46,534 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:46:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:46,534 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:46:Begin-------------

记录时间：2018-12-15 10:27:49,036 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:49:End-------------

记录时间：2018-12-15 10:27:52,040 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:52:没有设备可以抓取,回到原点

